id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1488733880290983938,1488733880290983938,2022-02-02 10:39:51 Центральная Азия (зима),2022-02-02,10:39:51,+0600,1006761356601778176,gggwbg,将軍,,2/1 朝 #アウトプット　統計学　1h、python 10m 昼  - 夜 #インプット　統計web 5sec #読書　マーケティング　20p  #今日の積み上げ #プログラミング初心者,ja,[],[],[],0,0,15,"['アウトプット', 'インプット', '読書', '今日の積み上げ', 'プログラミング初心者']",[],https://twitter.com/gggwbg/status/1488733880290983938,False,,0,,,,,,,,[],,,,
1488721101454659588,1488721101454659588,2022-02-02 09:49:04 Центральная Азия (зима),2022-02-02,09:49:04,+0600,2254658436,kuroneko2_22,😺FD-CUSTOM BAITS😺,,FD-Custom Baits / R.S.D.I. FLAMINGO Special Diamond Python  https://t.co/osktmevQ3c,en,[],[],['https://pbs.twimg.com/media/FKj_8ptVQAA_Yg6.jpg'],0,1,17,[],[],https://twitter.com/kuroneko2_22/status/1488721101454659588,False,,1,https://pbs.twimg.com/media/FKj_8ptVQAA_Yg6.jpg,,,,,,,[],,,,
1488710768598077442,1488710768598077442,2022-02-02 09:08:00 Центральная Азия (зима),2022-02-02,09:08:00,+0600,2326251343,treyhunner,Trey Hunner (Python trainer),,"I try to mention start=1 whenever I teach enumerate in #Python for two reasons:  1. It's super handy (I used n+1 for years before discovering it) 2. It helps re-enforce the idea that enumerate is unrelated to ""indexes"". It's just counting upward. No indexes involved.",en,[],[],[],2,2,16,['python'],[],https://twitter.com/treyhunner/status/1488710768598077442,False,https://twitter.com/pathunstrom/status/1488302654979641345,0,,,,,,,,[],,,,
1488700208162639873,1488691998307622915,2022-02-02 08:26:02 Центральная Азия (зима),2022-02-02,08:26:02,+0600,12497,simonw,Simon Willison,,"Watching  https://t.co/vBPzaiGMZG load is interesting - it only needs loads 5.65MB to get to the interactive bash prompt, but any time you run other commands it fetches more data as it reads from the remote read-only filesystem  It loads another 5.37MB to get a Python 2 prompt  https://t.co/FirxOerQoi",en,[],['http://webvm.io'],['https://pbs.twimg.com/tweet_video_thumb/FKjsoOdUYAQ8i22.jpg'],3,0,16,[],[],https://twitter.com/simonw/status/1488700208162639873,False,,1,https://pbs.twimg.com/tweet_video_thumb/FKjsoOdUYAQ8i22.jpg,,,,,,,[],,,,
1488684620614938629,1488684620614938629,2022-02-02 07:24:06 Центральная Азия (зима),2022-02-02,07:24:06,+0600,1472586773792493572,penny_python,PennyPython,,#NFT #NFTCommunity LETS GO join us in 2.5 hours!,en,[],[],[],0,3,14,"['nft', 'nftcommunity']",[],https://twitter.com/penny_python/status/1488684620614938629,False,https://twitter.com/juniorpunksnft/status/1488683884719919104,0,,,,,,,,[],,,,
1488675425635217411,1488675425635217411,2022-02-02 06:47:34 Центральная Азия (зима),2022-02-02,06:47:34,+0600,23828921,saihtamen,Mathias Røyrvik,,"Chayan Vinayak's #Maya Python API course that was a paid course is now free on YouTube! Check it out! No API 2.0 as far as I know, but still a good course that covers a lot, including deformers. #rigTip #techArt  https://t.co/9gjFAuca3f",en,[],['https://youtube.com/playlist?list=PL09X4HXJpa8nb8gZzBhWw7UC7KNXkF6qJ'],[],2,10,24,"['maya', 'rigtip', 'techart']",[],https://twitter.com/Saihtamen/status/1488675425635217411,False,,0,,,,,,,,[],,,,
1488733880290983938,1488733880290983938,2022-02-02 10:39:51 Центральная Азия (зима),2022-02-02,10:39:51,+0600,1006761356601778176,gggwbg,将軍,,2/1 朝 #アウトプット　統計学　1h、python 10m 昼  - 夜 #インプット　統計web 5sec #読書　マーケティング　20p  #今日の積み上げ #プログラミング初心者,ja,[],[],[],0,0,15,"['アウトプット', 'インプット', '読書', '今日の積み上げ', 'プログラミング初心者']",[],https://twitter.com/gggwbg/status/1488733880290983938,False,,0,,,,,,,,[],,,,
1488721101454659588,1488721101454659588,2022-02-02 09:49:04 Центральная Азия (зима),2022-02-02,09:49:04,+0600,2254658436,kuroneko2_22,😺FD-CUSTOM BAITS😺,,FD-Custom Baits / R.S.D.I. FLAMINGO Special Diamond Python  https://t.co/osktmevQ3c,en,[],[],['https://pbs.twimg.com/media/FKj_8ptVQAA_Yg6.jpg'],0,1,17,[],[],https://twitter.com/kuroneko2_22/status/1488721101454659588,False,,1,https://pbs.twimg.com/media/FKj_8ptVQAA_Yg6.jpg,,,,,,,[],,,,
1488710768598077442,1488710768598077442,2022-02-02 09:08:00 Центральная Азия (зима),2022-02-02,09:08:00,+0600,2326251343,treyhunner,Trey Hunner (Python trainer),,"I try to mention start=1 whenever I teach enumerate in #Python for two reasons:  1. It's super handy (I used n+1 for years before discovering it) 2. It helps re-enforce the idea that enumerate is unrelated to ""indexes"". It's just counting upward. No indexes involved.",en,[],[],[],2,2,16,['python'],[],https://twitter.com/treyhunner/status/1488710768598077442,False,https://twitter.com/pathunstrom/status/1488302654979641345,0,,,,,,,,[],,,,
1488700208162639873,1488691998307622915,2022-02-02 08:26:02 Центральная Азия (зима),2022-02-02,08:26:02,+0600,12497,simonw,Simon Willison,,"Watching  https://t.co/vBPzaiGMZG load is interesting - it only needs loads 5.65MB to get to the interactive bash prompt, but any time you run other commands it fetches more data as it reads from the remote read-only filesystem  It loads another 5.37MB to get a Python 2 prompt  https://t.co/FirxOerQoi",en,[],['http://webvm.io'],['https://pbs.twimg.com/tweet_video_thumb/FKjsoOdUYAQ8i22.jpg'],3,0,16,[],[],https://twitter.com/simonw/status/1488700208162639873,False,,1,https://pbs.twimg.com/tweet_video_thumb/FKjsoOdUYAQ8i22.jpg,,,,,,,[],,,,
1488684620614938629,1488684620614938629,2022-02-02 07:24:06 Центральная Азия (зима),2022-02-02,07:24:06,+0600,1472586773792493572,penny_python,PennyPython,,#NFT #NFTCommunity LETS GO join us in 2.5 hours!,en,[],[],[],0,3,14,"['nft', 'nftcommunity']",[],https://twitter.com/penny_python/status/1488684620614938629,False,https://twitter.com/juniorpunksnft/status/1488683884719919104,0,,,,,,,,[],,,,
1488675425635217411,1488675425635217411,2022-02-02 06:47:34 Центральная Азия (зима),2022-02-02,06:47:34,+0600,23828921,saihtamen,Mathias Røyrvik,,"Chayan Vinayak's #Maya Python API course that was a paid course is now free on YouTube! Check it out! No API 2.0 as far as I know, but still a good course that covers a lot, including deformers. #rigTip #techArt  https://t.co/9gjFAuca3f",en,[],['https://youtube.com/playlist?list=PL09X4HXJpa8nb8gZzBhWw7UC7KNXkF6qJ'],[],2,10,24,"['maya', 'rigtip', 'techart']",[],https://twitter.com/Saihtamen/status/1488675425635217411,False,,0,,,,,,,,[],,,,
1488733880290983938,1488733880290983938,2022-02-02 10:39:51 Центральная Азия (зима),2022-02-02,10:39:51,+0600,1006761356601778176,gggwbg,将軍,,2/1 朝 #アウトプット　統計学　1h、python 10m 昼  - 夜 #インプット　統計web 5sec #読書　マーケティング　20p  #今日の積み上げ #プログラミング初心者,ja,[],[],[],0,0,15,"['アウトプット', 'インプット', '読書', '今日の積み上げ', 'プログラミング初心者']",[],https://twitter.com/gggwbg/status/1488733880290983938,False,,0,,,,,,,,[],,,,
1488721101454659588,1488721101454659588,2022-02-02 09:49:04 Центральная Азия (зима),2022-02-02,09:49:04,+0600,2254658436,kuroneko2_22,😺FD-CUSTOM BAITS😺,,FD-Custom Baits / R.S.D.I. FLAMINGO Special Diamond Python  https://t.co/osktmevQ3c,en,[],[],['https://pbs.twimg.com/media/FKj_8ptVQAA_Yg6.jpg'],0,1,18,[],[],https://twitter.com/kuroneko2_22/status/1488721101454659588,False,,1,https://pbs.twimg.com/media/FKj_8ptVQAA_Yg6.jpg,,,,,,,[],,,,
1488710768598077442,1488710768598077442,2022-02-02 09:08:00 Центральная Азия (зима),2022-02-02,09:08:00,+0600,2326251343,treyhunner,Trey Hunner (Python trainer),,"I try to mention start=1 whenever I teach enumerate in #Python for two reasons:  1. It's super handy (I used n+1 for years before discovering it) 2. It helps re-enforce the idea that enumerate is unrelated to ""indexes"". It's just counting upward. No indexes involved.",en,[],[],[],2,2,16,['python'],[],https://twitter.com/treyhunner/status/1488710768598077442,False,https://twitter.com/pathunstrom/status/1488302654979641345,0,,,,,,,,[],,,,
1488700208162639873,1488691998307622915,2022-02-02 08:26:02 Центральная Азия (зима),2022-02-02,08:26:02,+0600,12497,simonw,Simon Willison,,"Watching  https://t.co/vBPzaiGMZG load is interesting - it only needs loads 5.65MB to get to the interactive bash prompt, but any time you run other commands it fetches more data as it reads from the remote read-only filesystem  It loads another 5.37MB to get a Python 2 prompt  https://t.co/FirxOerQoi",en,[],['http://webvm.io'],['https://pbs.twimg.com/tweet_video_thumb/FKjsoOdUYAQ8i22.jpg'],3,0,17,[],[],https://twitter.com/simonw/status/1488700208162639873,False,,1,https://pbs.twimg.com/tweet_video_thumb/FKjsoOdUYAQ8i22.jpg,,,,,,,[],,,,
1488684620614938629,1488684620614938629,2022-02-02 07:24:06 Центральная Азия (зима),2022-02-02,07:24:06,+0600,1472586773792493572,penny_python,PennyPython,,#NFT #NFTCommunity LETS GO join us in 2.5 hours!,en,[],[],[],0,3,14,"['nft', 'nftcommunity']",[],https://twitter.com/penny_python/status/1488684620614938629,False,https://twitter.com/juniorpunksnft/status/1488683884719919104,0,,,,,,,,[],,,,
1488675425635217411,1488675425635217411,2022-02-02 06:47:34 Центральная Азия (зима),2022-02-02,06:47:34,+0600,23828921,saihtamen,Mathias Røyrvik,,"Chayan Vinayak's #Maya Python API course that was a paid course is now free on YouTube! Check it out! No API 2.0 as far as I know, but still a good course that covers a lot, including deformers. #rigTip #techArt  https://t.co/9gjFAuca3f",en,[],['https://youtube.com/playlist?list=PL09X4HXJpa8nb8gZzBhWw7UC7KNXkF6qJ'],[],2,11,26,"['maya', 'rigtip', 'techart']",[],https://twitter.com/Saihtamen/status/1488675425635217411,False,,0,,,,,,,,[],,,,
1488733880290983938,1488733880290983938,2022-02-02 10:39:51 Центральная Азия (зима),2022-02-02,10:39:51,+0600,1006761356601778176,gggwbg,将軍,,2/1 朝 #アウトプット　統計学　1h、python 10m 昼  - 夜 #インプット　統計web 5sec #読書　マーケティング　20p  #今日の積み上げ #プログラミング初心者,ja,[],[],[],0,0,15,"['アウトプット', 'インプット', '読書', '今日の積み上げ', 'プログラミング初心者']",[],https://twitter.com/gggwbg/status/1488733880290983938,False,,0,,,,,,,,[],,,,
1488721101454659588,1488721101454659588,2022-02-02 09:49:04 Центральная Азия (зима),2022-02-02,09:49:04,+0600,2254658436,kuroneko2_22,😺FD-CUSTOM BAITS😺,,FD-Custom Baits / R.S.D.I. FLAMINGO Special Diamond Python  https://t.co/osktmevQ3c,en,[],[],['https://pbs.twimg.com/media/FKj_8ptVQAA_Yg6.jpg'],0,1,18,[],[],https://twitter.com/kuroneko2_22/status/1488721101454659588,False,,1,https://pbs.twimg.com/media/FKj_8ptVQAA_Yg6.jpg,,,,,,,[],,,,
1488710768598077442,1488710768598077442,2022-02-02 09:08:00 Центральная Азия (зима),2022-02-02,09:08:00,+0600,2326251343,treyhunner,Trey Hunner (Python trainer),,"I try to mention start=1 whenever I teach enumerate in #Python for two reasons:  1. It's super handy (I used n+1 for years before discovering it) 2. It helps re-enforce the idea that enumerate is unrelated to ""indexes"". It's just counting upward. No indexes involved.",en,[],[],[],2,2,16,['python'],[],https://twitter.com/treyhunner/status/1488710768598077442,False,https://twitter.com/pathunstrom/status/1488302654979641345,0,,,,,,,,[],,,,
1488700208162639873,1488691998307622915,2022-02-02 08:26:02 Центральная Азия (зима),2022-02-02,08:26:02,+0600,12497,simonw,Simon Willison,,"Watching  https://t.co/vBPzaiGMZG load is interesting - it only needs loads 5.65MB to get to the interactive bash prompt, but any time you run other commands it fetches more data as it reads from the remote read-only filesystem  It loads another 5.37MB to get a Python 2 prompt  https://t.co/FirxOerQoi",en,[],['http://webvm.io'],['https://pbs.twimg.com/tweet_video_thumb/FKjsoOdUYAQ8i22.jpg'],3,0,17,[],[],https://twitter.com/simonw/status/1488700208162639873,False,,1,https://pbs.twimg.com/tweet_video_thumb/FKjsoOdUYAQ8i22.jpg,,,,,,,[],,,,
1488684620614938629,1488684620614938629,2022-02-02 07:24:06 Центральная Азия (зима),2022-02-02,07:24:06,+0600,1472586773792493572,penny_python,PennyPython,,#NFT #NFTCommunity LETS GO join us in 2.5 hours!,en,[],[],[],0,3,14,"['nft', 'nftcommunity']",[],https://twitter.com/penny_python/status/1488684620614938629,False,https://twitter.com/juniorpunksnft/status/1488683884719919104,0,,,,,,,,[],,,,
1488675425635217411,1488675425635217411,2022-02-02 06:47:34 Центральная Азия (зима),2022-02-02,06:47:34,+0600,23828921,saihtamen,Mathias Røyrvik,,"Chayan Vinayak's #Maya Python API course that was a paid course is now free on YouTube! Check it out! No API 2.0 as far as I know, but still a good course that covers a lot, including deformers. #rigTip #techArt  https://t.co/9gjFAuca3f",en,[],['https://youtube.com/playlist?list=PL09X4HXJpa8nb8gZzBhWw7UC7KNXkF6qJ'],[],2,11,26,"['maya', 'rigtip', 'techart']",[],https://twitter.com/Saihtamen/status/1488675425635217411,False,,0,,,,,,,,[],,,,
1488766765446275073,1488766765446275073,2022-02-02 12:50:31 Центральная Азия (зима),2022-02-02,12:50:31,+0600,168041398,librepgp,Libre ⚡️,,"Bitcoin is the best currency for remote work.  1.- Immediate international settlement 2.- No ""cost of living"" or ""salary-by-location"" bullshit (1 sat = 1 sat) 3.- Off-ramps all over the world  What else am I missing?",en,[],[],[],15,17,120,[],[],https://twitter.com/LibrePGP/status/1488766765446275073,False,,0,,,,,,,,[],,,,
1488740207616741376,1488740207616741376,2022-02-02 11:04:59 Центральная Азия (зима),2022-02-02,11:04:59,+0600,955744720092835841,wazirxindia,WazirX: India Ka Bitcoin Exchange,,"2-2-'22  A new day, a new beginning. GM 🚀",en,[],[],[],159,103,916,[],[],https://twitter.com/WazirXIndia/status/1488740207616741376,False,,0,,,,,,,,[],,,,
1488717705700163586,1488717705700163586,2022-02-02 09:35:34 Центральная Азия (зима),2022-02-02,09:35:34,+0600,1438922174434353156,astrobabiesnft,Astro Babies | APES | SOLD OUT,,WE ARE GOING TO BE MINTED OUT IN THE NEXT 12 HOURS! 🔥🚀  Now is your LAST CHANCE to get yourself an Original OG ASTRO BABY with an allocated airdrop! 🪂  MINT = 2 SOL 💰  ➡️  https://t.co/n0bhYAZUUe  #astrobabiesNFT #500left #Solana #Bitcoin #crypto #NFTs #utility #AstroCasino  https://t.co/iNh4snYG8z,en,[],['https://astrobabies.io/'],['https://pbs.twimg.com/media/FKj83JCXMAAeiUb.jpg'],277,308,331,"['astrobabiesnft', '500left', 'solana', 'bitcoin', 'crypto', 'nfts', 'utility', 'astrocasino']",[],https://twitter.com/AstroBabiesNFT/status/1488717705700163586,False,,1,https://pbs.twimg.com/media/FKj83JCXMAAeiUb.jpg,,,,,,,[],,,,
1488712456457179141,1488618928129687556,2022-02-02 09:14:43 Центральная Азия (зима),2022-02-02,09:14:43,+0600,59855362,ricardobsalinas,Ricardo Salinas Pliego,,"Les comparto la portada de los dos libros que recomendé hoy #MartesDeLibro.   2 muy buenos libros de @saifedean, que sirven para entender la historia del dinero y el #Bitcoin.  https://t.co/NRqpFSc5m1",es,"[{'screen_name': 'saifedean', 'name': 'saifedean.com', 'id': '18469669'}]",[],"['https://pbs.twimg.com/media/FKj4FdZXIAEy3nF.jpg', 'https://pbs.twimg.com/media/FKj4FdZXIAIP2jE.jpg']",12,12,143,"['martesdelibro', 'bitcoin']",[],https://twitter.com/RicardoBSalinas/status/1488712456457179141,False,,1,https://pbs.twimg.com/media/FKj4FdZXIAEy3nF.jpg,,,,,,,[],,,,
1488703893760626688,1488703893760626688,2022-02-02 08:40:41 Центральная Азия (зима),2022-02-02,08:40:41,+0600,1275478319341936640,stack2thefuture,STACK TO THE FUTURE,,"It’s really hard, after finding #Bitcoin, to give a solitary fuck about 95% of the shit I used to give a fuck about.",en,[],[],[],52,63,821,['bitcoin'],[],https://twitter.com/stack2thefuture/status/1488703893760626688,False,,0,,,,,,,,[],,,,
1488689931190824961,1488689931190824961,2022-02-02 07:45:12 Центральная Азия (зима),2022-02-02,07:45:12,+0600,543483223,natbrunell,Natalie ₿runell,,".@DylanLeClair_ has conviction.   I asked him what he would do with a net worth of $5 million.  ""I'd buy $5.2 million in #Bitcoin.""   Loved this chat Dylan! Macro, BTC, Maple Syrup and more... Video:  https://t.co/dDW7woCgB8 Audio:  https://t.co/6QXCIA4na2  https://t.co/w2JBa16OiW",en,"[{'screen_name': 'dylanleclair_', 'name': 'dylan leclair 🟠', 'id': '1649128015'}]","['https://www.youtube.com/watch?v=jSpSJt7S77Q&t=498s', 'https://podcasts.apple.com/us/podcast/coin-stories/id1569130932']",[],26,30,307,['bitcoin'],[],https://twitter.com/natbrunell/status/1488689931190824961,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1488689764475621378/pu/img/ItiChqyXRsqHS4er.jpg,,,,,,,[],,,,
1488766765446275073,1488766765446275073,2022-02-02 12:50:31 Центральная Азия (зима),2022-02-02,12:50:31,+0600,168041398,librepgp,Libre ⚡️,,"Bitcoin is the best currency for remote work.  1.- Immediate international settlement 2.- No ""cost of living"" or ""salary-by-location"" bullshit (1 sat = 1 sat) 3.- Off-ramps all over the world  What else am I missing?",en,[],[],[],18,20,134,[],[],https://twitter.com/LibrePGP/status/1488766765446275073,False,,0,,,,,,,,[],,,,
1488740207616741376,1488740207616741376,2022-02-02 11:04:59 Центральная Азия (зима),2022-02-02,11:04:59,+0600,955744720092835841,wazirxindia,WazirX: India Ka Bitcoin Exchange,,"2-2-'22  A new day, a new beginning. GM 🚀",en,[],[],[],181,106,941,[],[],https://twitter.com/WazirXIndia/status/1488740207616741376,False,,0,,,,,,,,[],,,,
1488717705700163586,1488717705700163586,2022-02-02 09:35:34 Центральная Азия (зима),2022-02-02,09:35:34,+0600,1438922174434353156,astrobabiesnft,Astro Babies | APES | SOLD OUT,,WE ARE GOING TO BE MINTED OUT IN THE NEXT 12 HOURS! 🔥🚀  Now is your LAST CHANCE to get yourself an Original OG ASTRO BABY with an allocated airdrop! 🪂  MINT = 2 SOL 💰  ➡️  https://t.co/n0bhYAZUUe  #astrobabiesNFT #500left #Solana #Bitcoin #crypto #NFTs #utility #AstroCasino  https://t.co/iNh4snYG8z,en,[],['https://astrobabies.io/'],['https://pbs.twimg.com/media/FKj83JCXMAAeiUb.jpg'],287,319,341,"['astrobabiesnft', '500left', 'solana', 'bitcoin', 'crypto', 'nfts', 'utility', 'astrocasino']",[],https://twitter.com/AstroBabiesNFT/status/1488717705700163586,False,,1,https://pbs.twimg.com/media/FKj83JCXMAAeiUb.jpg,,,,,,,[],,,,
1488712456457179141,1488618928129687556,2022-02-02 09:14:43 Центральная Азия (зима),2022-02-02,09:14:43,+0600,59855362,ricardobsalinas,Ricardo Salinas Pliego,,"Les comparto la portada de los dos libros que recomendé hoy #MartesDeLibro.   2 muy buenos libros de @saifedean, que sirven para entender la historia del dinero y el #Bitcoin.  https://t.co/NRqpFSc5m1",es,"[{'screen_name': 'saifedean', 'name': 'saifedean.com', 'id': '18469669'}]",[],"['https://pbs.twimg.com/media/FKj4FdZXIAEy3nF.jpg', 'https://pbs.twimg.com/media/FKj4FdZXIAIP2jE.jpg']",12,13,145,"['martesdelibro', 'bitcoin']",[],https://twitter.com/RicardoBSalinas/status/1488712456457179141,False,,1,https://pbs.twimg.com/media/FKj4FdZXIAEy3nF.jpg,,,,,,,[],,,,
1488703893760626688,1488703893760626688,2022-02-02 08:40:41 Центральная Азия (зима),2022-02-02,08:40:41,+0600,1275478319341936640,stack2thefuture,STACK TO THE FUTURE,,"It’s really hard, after finding #Bitcoin, to give a solitary fuck about 95% of the shit I used to give a fuck about.",en,[],[],[],53,65,841,['bitcoin'],[],https://twitter.com/stack2thefuture/status/1488703893760626688,False,,0,,,,,,,,[],,,,
1488689931190824961,1488689931190824961,2022-02-02 07:45:12 Центральная Азия (зима),2022-02-02,07:45:12,+0600,543483223,natbrunell,Natalie ₿runell,,".@DylanLeClair_ has conviction.   I asked him what he would do with a net worth of $5 million.  ""I'd buy $5.2 million in #Bitcoin.""   Loved this chat Dylan! Macro, BTC, Maple Syrup and more... Video:  https://t.co/dDW7woCgB8 Audio:  https://t.co/6QXCIA4na2  https://t.co/w2JBa16OiW",en,"[{'screen_name': 'dylanleclair_', 'name': 'dylan leclair 🟠', 'id': '1649128015'}]","['https://www.youtube.com/watch?v=jSpSJt7S77Q&t=498s', 'https://podcasts.apple.com/us/podcast/coin-stories/id1569130932']",[],26,30,311,['bitcoin'],[],https://twitter.com/natbrunell/status/1488689931190824961,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1488689764475621378/pu/img/ItiChqyXRsqHS4er.jpg,,,,,,,[],,,,
